token,ndocs,frequency,e,ne,eprop,freq_bins,ndocs_bins,logfreq_bins,rank,N1,N0,P1,P0,x,WOEValue,token_length,WOEAbs,flg_singleLabel,WOERanks,lengthRanks
enron,512,4977,95.0,417.0,0.01908780389793048,3,2,3,1,139,716,0.6834532374100719,0.5824022346368715,1.1735072373755673,0.15999690363169333,5.0,0.15999690363169333,0,4.0,3.0
ect,361,4131,52.0,309.0,0.012587751149842653,3,2,3,2,139,716,0.37410071942446044,0.43156424581005587,0.8668482689576494,-0.1428913244863642,3.0,0.1428913244863642,0,3.0,2.0
com,332,3625,80.0,252.0,0.022068965517241378,3,2,3,3,139,716,0.5755395683453237,0.35195530726256985,1.6352632179970308,0.49180378099241207,3.0,0.49180378099241207,0,4.0,2.0
hou,329,2051,46.0,283.0,0.02242808386153096,3,2,3,4,139,716,0.33093525179856115,0.3952513966480447,0.8372778808755116,-0.1775992673241888,3.0,0.1775992673241888,0,3.0,2.0
e,268,1318,66.0,202.0,0.05007587253414264,3,2,3,5,139,716,0.4748201438848921,0.28212290502793297,1.6830258565424887,0.5205932784551746,1.0,0.5205932784551746,0,4.0,1.0
power,196,1213,76.0,120.0,0.06265457543281121,3,2,3,6,139,716,0.5467625899280576,0.16759776536312848,3.262350119904077,1.182447831334239,5.0,1.182447831334239,0,5.0,3.0
2000,327,1058,78.0,249.0,0.07372400756143667,3,2,3,7,139,716,0.5611510791366906,0.3477653631284916,1.6135910548669499,0.478462164054838,4.0,0.478462164054838,0,4.0,3.0
subject,554,992,103.0,451.0,0.10383064516129033,2,2,2,8,139,716,0.7410071942446043,0.6298882681564246,1.1764105345435403,0.16246788255691122,7.0,0.16246788255691122,0,4.0,3.0
energy,195,968,73.0,122.0,0.07541322314049587,2,2,2,9,139,716,0.5251798561151079,0.17039106145251395,3.0822030899870265,1.1256446302450884,6.0,1.1256446302450884,0,5.0,3.0
2001,293,968,56.0,237.0,0.05785123966942149,2,2,2,10,139,716,0.4028776978417266,0.33100558659217877,1.2171326230155117,0.19649778342997198,4.0,0.19649778342997198,0,4.0,3.0
mail,155,891,29.0,126.0,0.03254769921436588,2,2,2,11,139,716,0.20863309352517986,0.17597765363128492,1.1855658330478474,0.17022015686494982,4.0,0.17022015686494982,0,4.0,3.0
market,157,878,76.0,81.0,0.08656036446469248,2,2,2,12,139,716,0.5467625899280576,0.11312849162011174,4.833111288746781,1.5754904194438462,6.0,1.5754904194438462,0,5.0,3.0
gas,201,865,68.0,133.0,0.07861271676300578,2,2,2,13,139,716,0.4892086330935252,0.1857541899441341,2.633634445826797,0.9683648107843067,3.0,0.9683648107843067,0,5.0,2.0
pm,427,860,77.0,350.0,0.08953488372093023,2,2,2,14,139,716,0.5539568345323741,0.4888268156424581,1.1332374100719425,0.12507850120017835,2.0,0.12507850120017835,0,4.0,2.0
cc,511,850,89.0,422.0,0.10470588235294118,2,2,2,15,139,716,0.6402877697841727,0.5893854748603352,1.0863650311977906,0.08283728952608191,2.0,0.08283728952608191,0,4.0,2.0
would,278,829,89.0,189.0,0.10735826296743065,2,2,2,16,139,716,0.6402877697841727,0.2639664804469274,2.4256404400289293,0.8860955885024513,5.0,0.8860955885024513,0,5.0,3.0
california,134,782,80.0,54.0,0.10230179028132992,2,2,2,17,139,716,0.5755395683453237,0.07541899441340782,7.63122835065281,2.032248821939561,10.0,2.032248821939561,0,6.0,4.0
1,252,780,75.0,177.0,0.09615384615384616,2,2,2,18,139,716,0.539568345323741,0.24720670391061453,2.1826606511401048,0.7805446147924351,1.0,0.7805446147924351,0,5.0,1.0
please,455,779,62.0,393.0,0.07958921694480103,2,2,2,19,139,716,0.4460431654676259,0.5488826815642458,0.8126384388672269,-0.20746899299421578,6.0,0.20746899299421578,0,3.0,3.0
corp,250,687,51.0,199.0,0.07423580786026202,2,2,2,20,139,716,0.3669064748201439,0.2779329608938548,1.320125808900618,0.27772704182978714,4.0,0.27772704182978714,0,4.0,3.0
state,112,686,60.0,52.0,0.08746355685131195,2,2,2,21,139,716,0.4316546762589928,0.07262569832402235,5.943552850027669,1.782307077470627,5.0,1.782307077470627,0,5.0,3.0
ees,69,626,25.0,44.0,0.039936102236421724,2,1,2,22,139,716,0.17985611510791366,0.061452513966480445,2.9267495094833222,1.0738924247798933,3.0,1.0738924247798933,0,5.0,2.0
2,223,587,64.0,159.0,0.10902896081771721,2,2,2,23,139,716,0.460431654676259,0.22206703910614525,2.073390344328311,0.7291851149693942,1.0,0.7291851149693942,0,4.0,1.0
10,261,577,61.0,200.0,0.10571923743500866,2,2,2,24,139,716,0.43884892086330934,0.27932960893854747,1.5710791366906476,0.4517627314552285,2.0,0.4517627314552285,0,4.0,2.0
electricity,84,549,56.0,28.0,0.10200364298724955,2,1,2,25,139,716,0.4028776978417266,0.03910614525139665,10.302158273381295,2.332353414389899,11.0,2.332353414389899,0,6.0,4.0
price,147,549,75.0,72.0,0.1366120218579235,2,2,2,26,139,716,0.539568345323741,0.1005586592178771,5.365707434052757,1.6800282283502088,5.0,1.6800282283502088,0,5.0,3.0
said,85,545,46.0,39.0,0.08440366972477065,2,1,2,27,139,716,0.33093525179856115,0.05446927374301676,6.075631802250507,1.8042859841894026,4.0,1.8042859841894026,0,5.0,3.0
new,180,537,57.0,123.0,0.10614525139664804,2,2,2,28,139,716,0.41007194244604317,0.1717877094972067,2.387085453588349,0.8700731462920865,3.0,0.8700731462920865,0,5.0,2.0
01,235,534,44.0,191.0,0.08239700374531835,2,2,2,29,139,716,0.31654676258992803,0.26675977653631283,1.186636031488945,0.1711224397015852,2.0,0.1711224397015852,0,4.0,2.0
12,233,523,54.0,179.0,0.10325047801147227,2,2,2,30,139,716,0.38848920863309355,0.25,1.5539568345323742,0.4408044745534733,2.0,0.4408044745534733,0,4.0,2.0
forwarded,389,520,72.0,317.0,0.13846153846153847,2,2,2,31,139,716,0.5179856115107914,0.44273743016759776,1.169961191929737,0.1569705789687286,9.0,0.1569705789687286,0,4.0,3.0
may,225,511,61.0,164.0,0.11937377690802348,2,2,2,32,139,716,0.43884892086330934,0.22905027932960895,1.9159501666959116,0.6502136701790667,3.0,0.6502136701790667,0,4.0,2.0
3,185,505,49.0,136.0,0.09702970297029703,2,2,2,33,139,716,0.35251798561151076,0.18994413407821228,1.8559035124841303,0.6183716462045284,1.0,0.6183716462045284,0,4.0,1.0
11,252,504,61.0,191.0,0.12103174603174603,2,2,2,34,139,716,0.43884892086330934,0.26675977653631283,1.6451090436551283,0.49780666995663525,2.0,0.49780666995663525,0,4.0,2.0
attached,378,504,42.0,336.0,0.08333333333333333,2,2,2,35,139,716,0.302158273381295,0.4692737430167598,0.6438848920863309,-0.4402353078498821,8.0,0.4402353078498821,0,3.0,3.0
development,84,496,20.0,64.0,0.04032258064516129,2,1,2,36,139,716,0.14388489208633093,0.0893854748603352,1.6097122302158273,0.476055424024273,11.0,0.476055424024273,0,4.0,4.0
also,224,452,67.0,157.0,0.14823008849557523,2,2,2,37,139,716,0.48201438848920863,0.21927374301675978,2.198231223938047,0.7876530478726118,4.0,0.7876530478726118,0,5.0,3.0
na,152,447,43.0,109.0,0.09619686800894854,2,2,2,38,139,716,0.30935251798561153,0.15223463687150837,2.0320770906210814,0.7090584672943727,2.0,0.7090584672943727,0,4.0,2.0
us,179,415,34.0,145.0,0.0819277108433735,2,2,2,39,139,716,0.2446043165467626,0.20251396648044692,1.2078392458447036,0.18883301602554087,2.0,0.18883301602554087,0,4.0,2.0
information,191,413,43.0,148.0,0.10411622276029056,2,2,2,40,139,716,0.30935251798561153,0.20670391061452514,1.4965973167412017,0.40319407575940125,11.0,0.40319407575940125,0,4.0,4.0
time,188,404,56.0,132.0,0.13861386138613863,2,2,2,41,139,716,0.4028776978417266,0.18435754189944134,2.185306300414214,0.7817560019787323,4.0,0.7817560019787323,0,5.0,3.0
know,266,395,46.0,220.0,0.11645569620253164,2,2,2,42,139,716,0.33093525179856115,0.30726256983240224,1.0770438194898626,0.07422008396668728,4.0,0.07422008396668728,0,4.0,3.0
prices,99,391,60.0,39.0,0.1534526854219949,2,1,2,43,139,716,0.4316546762589928,0.05446927374301676,7.924737133370227,2.0699891499224083,6.0,2.0699891499224083,0,6.0,3.0
one,182,391,60.0,122.0,0.1534526854219949,2,2,2,44,139,716,0.4316546762589928,0.17039106145251395,2.5333176082085154,0.9295297513187981,3.0,0.9295297513187981,0,5.0,2.0
ferc,84,386,43.0,41.0,0.11139896373056994,2,1,2,45,139,716,0.30935251798561153,0.05726256983240224,5.402351289699948,1.6868342828192087,4.0,1.6868342828192087,0,5.0,3.0
thanks,282,384,28.0,254.0,0.07291666666666667,2,2,2,46,139,716,0.2014388489208633,0.3547486033519553,0.567835495383221,-0.5659235230133788,6.0,0.5659235230133788,0,2.0,3.0
5,146,383,42.0,104.0,0.10966057441253264,2,2,2,47,139,716,0.302158273381295,0.1452513966480447,2.0802434975096844,0.7324849529719494,1.0,0.7324849529719494,0,4.0,1.0
ca,62,378,26.0,36.0,0.06878306878306878,2,1,2,48,139,716,0.18705035971223022,0.05027932960893855,3.720223820943245,1.3137838333953258,2.0,1.3137838333953258,0,5.0,2.0
4,164,357,45.0,119.0,0.12605042016806722,2,2,2,49,139,716,0.3237410071942446,0.16620111731843576,1.947887068496463,0.6667452304887441,1.0,0.6667452304887441,0,4.0,1.0
j,166,350,48.0,118.0,0.13714285714285715,2,2,2,50,139,716,0.34532374100719426,0.164804469273743,2.0953542250945008,0.73972262027218,1.0,0.73972262027218,0,4.0,1.0
doc,154,344,12.0,142.0,0.03488372093023256,2,2,2,51,139,716,0.08633093525179857,0.19832402234636873,0.4353024622555477,-0.8317141739833065,3.0,0.8317141739833065,0,2.0,2.0
14,97,344,21.0,76.0,0.061046511627906974,2,1,2,52,139,716,0.1510791366906475,0.10614525139664804,1.4233244982961,0.3529953312670458,2.0,0.3529953312670458,0,4.0,2.0
company,110,340,44.0,66.0,0.12941176470588237,2,2,2,53,139,716,0.31654676258992803,0.09217877094972067,3.4340527577937645,1.2337411257217894,7.0,1.2337411257217894,0,5.0,3.0
call,209,336,35.0,174.0,0.10416666666666667,2,2,2,54,139,716,0.2517985611510791,0.2430167597765363,1.0361366079550154,0.035498996104838594,4.0,0.035498996104838594,0,4.0,3.0
need,191,335,51.0,140.0,0.15223880597014924,2,2,2,55,139,716,0.3669064748201439,0.19553072625698323,1.8764645426515931,0.6293894439449754,4.0,0.6293894439449754,0,4.0,3.0
00,134,334,32.0,102.0,0.09580838323353294,2,2,2,56,139,716,0.2302158273381295,0.1424581005586592,1.616024827197066,0.4799693233454094,2.0,0.4799693233454094,0,4.0,2.0
02,176,333,25.0,151.0,0.07507507507507508,2,2,2,57,139,716,0.17985611510791366,0.21089385474860337,0.8528276716375244,-0.15919777811676977,2.0,0.15919777811676977,0,3.0,2.0
agreement,133,329,20.0,113.0,0.060790273556231005,2,2,2,58,139,716,0.14388489208633093,0.15782122905027932,0.9116954224231235,-0.09244931132839565,9.0,0.09244931132839565,0,3.0,3.0
day,136,322,52.0,84.0,0.16149068322981366,2,2,2,59,139,716,0.37410071942446044,0.11731843575418995,3.1887632750942103,1.1596331535680675,3.0,1.1596331535680675,0,5.0,2.0
could,164,320,66.0,98.0,0.20625,2,2,2,60,139,716,0.4748201438848921,0.13687150837988826,3.46909411246513,1.2438934971858076,5.0,1.2438934971858076,0,5.0,3.0
trading,94,316,25.0,69.0,0.07911392405063292,2,1,2,61,139,716,0.17985611510791366,0.09636871508379888,1.8663330205400896,0.6239755541008952,7.0,0.6239755541008952,0,4.0,3.0
04,171,309,34.0,137.0,0.11003236245954692,2,2,2,62,139,716,0.2446043165467626,0.19134078212290503,1.2783700047261461,0.24558583261799038,2.0,0.24558583261799038,0,4.0,2.0
mark,153,309,23.0,130.0,0.0744336569579288,2,2,2,63,139,716,0.16546762589928057,0.18156424581005587,0.9113447703375761,-0.09283400069647886,4.0,0.09283400069647886,0,3.0,3.0
let,231,308,39.0,192.0,0.1266233766233766,2,2,2,64,139,716,0.2805755395683453,0.2681564245810056,1.0463129496402876,0.04527250793181862,3.0,0.04527250793181862,0,4.0,2.0
