token,ndocs,frequency,e,ne,eprop,freq_bins,ndocs_bins,logfreq_bins,rank,N1,N0,P1,P0,WOEValue,token_length,WOEAbs,flg_singleLabel
enron,512,4977,95.0,417.0,0.01908780389793048,3,2,3,1,139,716,0.6834532374100719,0.5824022346368715,0.15999690363169333,5.0,0.15999690363169333,0
ect,361,4131,52.0,309.0,0.012587751149842653,3,2,3,2,139,716,0.37410071942446044,0.43156424581005587,-0.1428913244863642,3.0,0.1428913244863642,0
com,332,3625,80.0,252.0,0.022068965517241378,3,2,3,3,139,716,0.5755395683453237,0.35195530726256985,0.49180378099241207,3.0,0.49180378099241207,0
hou,329,2051,46.0,283.0,0.02242808386153096,3,2,3,4,139,716,0.33093525179856115,0.3952513966480447,-0.1775992673241888,3.0,0.1775992673241888,0
e,268,1318,66.0,202.0,0.05007587253414264,3,2,3,5,139,716,0.4748201438848921,0.28212290502793297,0.5205932784551746,1.0,0.5205932784551746,0
power,196,1213,76.0,120.0,0.06265457543281121,3,2,3,6,139,716,0.5467625899280576,0.16759776536312848,1.182447831334239,5.0,1.182447831334239,0
2000,327,1058,78.0,249.0,0.07372400756143667,3,2,3,7,139,716,0.5611510791366906,0.3477653631284916,0.478462164054838,4.0,0.478462164054838,0
subject,554,992,103.0,451.0,0.10383064516129033,2,2,2,8,139,716,0.7410071942446043,0.6298882681564246,0.16246788255691122,7.0,0.16246788255691122,0
energy,195,968,73.0,122.0,0.07541322314049587,2,2,2,9,139,716,0.5251798561151079,0.17039106145251395,1.1256446302450884,6.0,1.1256446302450884,0
2001,293,968,56.0,237.0,0.05785123966942149,2,2,2,10,139,716,0.4028776978417266,0.33100558659217877,0.19649778342997198,4.0,0.19649778342997198,0
mail,155,891,29.0,126.0,0.03254769921436588,2,2,2,11,139,716,0.20863309352517986,0.17597765363128492,0.17022015686494982,4.0,0.17022015686494982,0
market,157,878,76.0,81.0,0.08656036446469248,2,2,2,12,139,716,0.5467625899280576,0.11312849162011174,1.5754904194438462,6.0,1.5754904194438462,0
gas,201,865,68.0,133.0,0.07861271676300578,2,2,2,13,139,716,0.4892086330935252,0.1857541899441341,0.9683648107843067,3.0,0.9683648107843067,0
